fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkzMTQ5NTM4Nw==,bcbio-nextgen,pushkardakle/bcbio-nextgen,pushkardakle,https://github.com/pushkardakle/bcbio-nextgen,2015-03-01T12:03:36Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzMzk2MTE1OQ==,bcbio-nextgen,tfmorris/bcbio-nextgen,tfmorris,https://github.com/tfmorris/bcbio-nextgen,2015-04-14T22:53:11Z,2023-11-20T08:09:51Z
MDEwOlJlcG9zaXRvcnkzNTE5NTI4Mw==,bcbio-nextgen,boratonAJ/bcbio-nextgen,boratonAJ,https://github.com/boratonAJ/bcbio-nextgen,2015-05-07T02:52:21Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzNTY2NTU5Mw==,bcbio-nextgen,jpmtavares/bcbio-nextgen,jpmtavares,https://github.com/jpmtavares/bcbio-nextgen,2015-05-15T09:28:16Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzNjU1ODYxOA==,bcbio-nextgen,dh10/bcbio-nextgen,dh10,https://github.com/dh10/bcbio-nextgen,2015-05-30T13:14:35Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzNjg1MjA5Mw==,bcbio-nextgen,robinandeer/bcbio-nextgen,robinandeer,https://github.com/robinandeer/bcbio-nextgen,2015-06-04T06:19:36Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzNjk1NTk4Ng==,bcbio-nextgen,wangx677/bcbio-nextgen,wangx677,https://github.com/wangx677/bcbio-nextgen,2015-06-05T21:21:43Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzNzAzODIxNQ==,bcbio-nextgen,marcelcaraciolo/bcbio-nextgen,marcelcaraciolo,https://github.com/marcelcaraciolo/bcbio-nextgen,2015-06-08T00:40:06Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzNzkzNjQ5NQ==,bcbio-nextgen,mpschr/bcbio-nextgen,mpschr,https://github.com/mpschr/bcbio-nextgen,2015-06-23T18:17:32Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzOTAzMzY0NQ==,bcbio-nextgen,munsonbp/bcbio-nextgen,munsonbp,https://github.com/munsonbp/bcbio-nextgen,2015-07-13T19:44:46Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzOTE0NjkwOA==,bcbio-nextgen,PichaiRaman/bcbio-nextgen,PichaiRaman,https://github.com/PichaiRaman/bcbio-nextgen,2015-07-15T16:08:02Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzOTE2NTc2Mg==,bcbio-nextgen,melsiddieg/bcbio-nextgen,melsiddieg,https://github.com/melsiddieg/bcbio-nextgen,2015-07-15T23:19:06Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnkzOTc0NjEzNQ==,bcbio-nextgen,upendrak/bcbio-nextgen,upendrak,https://github.com/upendrak/bcbio-nextgen,2015-07-26T23:30:29Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MDExOTIwMw==,bcbio-nextgen,verdurin/bcbio-nextgen,verdurin,https://github.com/verdurin/bcbio-nextgen,2015-08-03T10:33:33Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MDMwNTY5Mg==,bcbio-nextgen,hjanime/bcbio-nextgen,hjanime,https://github.com/hjanime/bcbio-nextgen,2015-08-06T13:14:52Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MDcxOTM4MA==,bcbio-nextgen,kevjp/bcbio-nextgen,kevjp,https://github.com/kevjp/bcbio-nextgen,2015-08-14T14:33:43Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MTA0MDkxMA==,bcbio-nextgen,nickholz/bcbio-nextgen,nickholz,https://github.com/nickholz/bcbio-nextgen,2015-08-19T14:56:08Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MTEyNjk2NA==,bcbio-nextgen,fw1121/bcbio-nextgen,fw1121,https://github.com/fw1121/bcbio-nextgen,2015-08-21T01:27:03Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MTM2NzMwNA==,bcbio-nextgen,guillermo-carrasco/bcbio-nextgen,guillermo-carrasco,https://github.com/guillermo-carrasco/bcbio-nextgen,2015-08-25T14:14:41Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MjczNjAwNw==,bcbio-nextgen,elkingtonmcb/bcbio-nextgen,elkingtonmcb,https://github.com/elkingtonmcb/bcbio-nextgen,2015-09-18T17:12:08Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0MzU0MjQ0Ng==,bcbio-nextgen,travc/bcbio-nextgen,travc,https://github.com/travc/bcbio-nextgen,2015-10-02T08:21:22Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NDEyMTY3Mg==,bcbio-nextgen,forrestzhang/bcbio-nextgen,forrestzhang,https://github.com/forrestzhang/bcbio-nextgen,2015-10-12T17:05:37Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NTA2MDY1MA==,bcbio-nextgen,gifford-lab/bcbio-nextgen,gifford-lab,https://github.com/gifford-lab/bcbio-nextgen,2015-10-27T18:14:21Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NTI5OTc3Mw==,bcbio-nextgen,tenxcloud/bcbio-nextgen,tenxcloud,https://github.com/tenxcloud/bcbio-nextgen,2015-10-31T11:52:44Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NTQzMDc2NQ==,bcbio-nextgen,vhuarui/bcbio-nextgen,vhuarui,https://github.com/vhuarui/bcbio-nextgen,2015-11-03T00:19:37Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NjA5MDMyMQ==,bcbio-nextgen,zengfengbo/bcbio-nextgen,zengfengbo,https://github.com/zengfengbo/bcbio-nextgen,2015-11-13T00:48:23Z,2016-07-19T16:29:09Z
