pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0NDMwMTM5NDU=,modified:   scipts/screen_results.py,MERGED,2015-08-21T08:17:44Z,2015-08-31T17:32:56Z,2015-08-31T17:32:56Z,2015-08-31T17:32:56Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/12
MDExOlB1bGxSZXF1ZXN0NDM4MDM3Mzc=,bug fix:screen_results,MERGED,2015-08-31T20:03:00Z,2015-08-31T20:03:14Z,2015-08-31T20:03:14Z,2015-08-31T20:03:14Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/13
MDExOlB1bGxSZXF1ZXN0NDQ3OTY5MTc=,Welcome back Francesco! ;P,MERGED,2015-09-11T15:39:39Z,2015-09-17T14:13:21Z,2015-09-17T14:13:21Z,2015-09-17T14:13:21Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/14
MDExOlB1bGxSZXF1ZXN0NDY2Mzg1MDc=,Some stuff,MERGED,2015-10-02T14:03:56Z,2015-10-09T11:56:09Z,2015-10-09T11:56:09Z,2015-10-09T11:56:09Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/15
MDExOlB1bGxSZXF1ZXN0NDk0NTc1NDg=,Some updates,MERGED,2015-11-02T17:04:32Z,2015-12-03T13:12:06Z,2015-12-03T13:12:06Z,2015-12-03T13:12:06Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/16
MDExOlB1bGxSZXF1ZXN0NTU0NjUzNjE=,Updates,MERGED,2016-01-08T14:14:30Z,2016-01-19T11:05:51Z,2016-01-19T11:05:51Z,2016-01-19T11:05:51Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/17
MDExOlB1bGxSZXF1ZXN0NjI1MjQ2NzQ=,INFO types inconsistent.,MERGED,2016-03-11T10:34:12Z,2016-03-11T13:00:56Z,2016-03-11T13:00:54Z,2016-03-11T13:00:54Z,dnil,https://github.com/SciLifeLab/TIDDIT/pull/18
MDExOlB1bGxSZXF1ZXN0NjI1NTEwNTg=,"Add tentative GT, PE and if applicable CN FORMAT tags to VCF.",MERGED,2016-03-11T14:36:52Z,2016-03-11T15:40:09Z,2016-03-11T15:40:08Z,2016-03-11T15:40:08Z,dnil,https://github.com/SciLifeLab/TIDDIT/pull/19
MDExOlB1bGxSZXF1ZXN0NjMxODcwMTc=,Split read support.,MERGED,2016-03-17T08:21:31Z,2016-03-17T10:26:22Z,2016-03-17T10:26:22Z,2016-03-17T10:26:22Z,dnil,https://github.com/SciLifeLab/TIDDIT/pull/20
MDExOlB1bGxSZXF1ZXN0NjMyMDg3NjY=,VCF header line for SR tags.,MERGED,2016-03-17T11:32:06Z,2016-03-17T11:38:00Z,2016-03-17T11:38:00Z,2016-03-17T11:38:00Z,dnil,https://github.com/SciLifeLab/TIDDIT/pull/21
MDExOlB1bGxSZXF1ZXN0NjM3MDc5NjU=,"Genotypes for heterozygous dups. No INS events, pending improved BND.",MERGED,2016-03-22T11:53:57Z,2016-03-23T13:34:18Z,2016-03-23T13:34:18Z,2016-03-23T13:34:18Z,dnil,https://github.com/SciLifeLab/TIDDIT/pull/22
MDExOlB1bGxSZXF1ZXN0NjQ1NDM2ODU=,Fix before publishing,MERGED,2016-03-29T22:20:08Z,2016-04-15T13:29:27Z,2016-04-15T13:29:20Z,2016-04-15T13:29:20Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/23
MDExOlB1bGxSZXF1ZXN0Njk0ODY2Mjk=,polishing work ,MERGED,2016-05-10T11:01:13Z,2016-05-19T10:40:56Z,2016-05-19T10:40:56Z,2016-05-19T10:40:56Z,vezzi,https://github.com/SciLifeLab/TIDDIT/pull/24
MDExOlB1bGxSZXF1ZXN0NzE3MTI3NDA=,Update,MERGED,2016-05-27T13:28:01Z,2016-05-31T08:25:33Z,2016-05-31T08:25:32Z,2016-05-31T08:25:32Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/25
MDExOlB1bGxSZXF1ZXN0NzYxNTA4NDk=,Clean up,MERGED,2016-07-04T11:37:57Z,2016-07-05T11:35:18Z,2016-07-05T11:35:18Z,2016-07-05T11:35:18Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/26
